sequence,viewport,step,intended_path,final_path,screenshot,notes
10,mobile,habits,/habits,/habits,docs/ux_audit_evidence/2026-04-01/mobile/10-habits.png,
11,mobile,routines,/routines,/routines,docs/ux_audit_evidence/2026-04-01/mobile/11-routines.png,
12,mobile,calendar,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/mobile/12-calendar.png,
13,mobile,calendar-day,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/mobile/13-calendar-day.png,Calendar switched to Dzien.
14,mobile,calendar-week,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/mobile/14-calendar-week.png,Calendar switched to Tydzien.
15,mobile,calendar-month,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/mobile/15-calendar-month.png,Calendar switched to Miesiac.
16,mobile,journal,/journal,/journal,docs/ux_audit_evidence/2026-04-01/mobile/16-journal.png,
17,mobile,life-areas,/life-areas,/life-areas,docs/ux_audit_evidence/2026-04-01/mobile/17-life-areas.png,
18,mobile,insights,/insights,/insights,docs/ux_audit_evidence/2026-04-01/mobile/18-insights.png,
19,mobile,settings-profile,/settings,/settings,docs/ux_audit_evidence/2026-04-01/mobile/19-settings-profile.png,
20,mobile,settings-application,/settings?tab=application,/settings?tab=application,docs/ux_audit_evidence/2026-04-01/mobile/20-settings-application.png,
21,mobile,settings-access-api,/settings?tab=access,/settings?tab=access,docs/ux_audit_evidence/2026-04-01/mobile/21-settings-access-api.png,
22,mobile,settings-subscription,/settings?tab=subscription,/settings?tab=subscription,docs/ux_audit_evidence/2026-04-01/mobile/22-settings-subscription.png,
23,mobile,automations,/automations,/automations,docs/ux_audit_evidence/2026-04-01/mobile/23-automations.png,
24,mobile,billing,/billing,/billing,docs/ux_audit_evidence/2026-04-01/mobile/24-billing.png,
25,mobile,goals-route,/goals,/tasks?tab=goals,docs/ux_audit_evidence/2026-04-01/mobile/25-goals-route.png,
26,mobile,targets-route,/targets,/tasks?tab=targets,docs/ux_audit_evidence/2026-04-01/mobile/26-targets-route.png,
27,mobile,onboarding-route,/onboarding,/onboarding,docs/ux_audit_evidence/2026-04-01/mobile/27-onboarding-route.png,
28,mobile,journal-stability-pass-1,/journal,/journal,docs/ux_audit_evidence/2026-04-01/mobile/28-journal-stability-pass-1.png,Repeated open to detect spontaneous redirects.
29,mobile,journal-stability-pass-2,/journal,/journal,docs/ux_audit_evidence/2026-04-01/mobile/29-journal-stability-pass-2.png,Repeated open to detect spontaneous redirects.
30,mobile,journal-stability-pass-3,/journal,/journal,docs/ux_audit_evidence/2026-04-01/mobile/30-journal-stability-pass-3.png,Repeated open to detect spontaneous redirects.
31,mobile,settings-access-stability-pass-1,/settings?tab=access,/settings?tab=access,docs/ux_audit_evidence/2026-04-01/mobile/31-settings-access-stability-pass-1.png,Repeated open to detect spontaneous redirects.
32,mobile,settings-access-stability-pass-2,/settings?tab=access,/settings?tab=access,docs/ux_audit_evidence/2026-04-01/mobile/32-settings-access-stability-pass-2.png,Repeated open to detect spontaneous redirects.
33,mobile,settings-access-stability-pass-3,/settings?tab=access,/settings?tab=access,docs/ux_audit_evidence/2026-04-01/mobile/33-settings-access-stability-pass-3.png,Repeated open to detect spontaneous redirects.
